Series Name,Series Code,Country Name,Country Code,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
GDP per capita (current US$),NY.GDP.PCAP.CD,"Bahamas, The",BHS,6338.619868,6622.685658,7165.134491,7694.937985,8873.769102,9888.48935,10339.52102,11150.69004,11381.82156,12158.07885,12350.97684,11914.85776,11682.08496,11402.65152,11812.46489,12239.8715,12717.15001,17287.93602,18456.60898,20505.94743,21241.2367,21497.52091,22506.35114,22009.20043,21996.40649,23405.45302,23719.10788,24301.24325,23652.33053,22037.10801,21921.55906,21523.97372,28815.5274,28303.46729,28374.35794,29056.09066,28785.47767,
GDP per capita (current US$),NY.GDP.PCAP.CD,Bahrain,BHR,8537.929379,9269.269617,9446.158002,9421.285655,9590.683099,8706.725084,7041.56947,7555.066809,7958.679492,8030.85458,8528.983334,9055.591114,9082.741169,9698.134804,10130.41307,10376.93489,10544.66713,10672.18394,10076.18778,10401.48045,13636.34668,12868.211,13102.33457,14221.99259,15846.47641,17959.17854,19307.99549,20977.11053,23067.56535,19356.67236,20722.10389,22512.1596,23649.36661,24737.17178,24983.37902,22688.87824,22579.09342,
GDP per capita (current US$),NY.GDP.PCAP.CD,Bangladesh,BGD,222.6323509,241.8703692,215.3932576,199.3366454,208.5346351,239.0392205,227.4230256,247.072312,263.2227905,277.8178391,297.5679945,284.7255998,285.0954994,291.7144952,290.652464,319.6086944,382.9357493,389.5236244,395.2974607,397.3548219,405.6033071,402.5981152,400.6135745,432.7388972,460.7579167,484.1554071,494.0501466,541.0651484,615.7775411,681.1205368,757.6717572,835.7893401,856.342857,951.8894535,1084.56543,1210.158769,1358.779029,
GDP per capita (current US$),NY.GDP.PCAP.CD,Barbados,BRB,,,,,,,,,,,7770.815258,7681.981933,7440.957495,7777.554485,8148.382411,8537.056187,9069.168909,9549.894079,10727.59584,11200.57763,11567.66612,11513.93686,11675.34754,12028.48034,12868.78733,14223.25544,15439.99215,16381.49556,16613.71922,15922.90013,15959.02979,16610.41835,16536.21464,16326.91348,16261.79932,16129.04928,15891.62655,
GDP per capita (current US$),NY.GDP.PCAP.CD,Belarus,BLR,,,,,,,,,,,2124.840514,1708.848342,1675.838916,1590.612461,1460.075488,1370.672043,1452.447002,1396.502166,1511.770268,1210.6116,1276.288034,1244.373185,1479.383142,1819.525644,2378.339207,3126.071767,3848.215966,4735.484827,6377.369732,5176.26383,6029.3968,6519.230195,6940.159254,7978.872615,8318.51269,5949.106307,4989.427763,
GDP per capita (current US$),NY.GDP.PCAP.CD,Belgium,BEL,12932.8606,10679.66389,9393.876692,8893.58613,8502.538597,8797.659679,12235.18414,15216.87102,16478.83159,16613.51665,20710.64434,21154.29184,23497.72741,22403.21682,24338.1377,28565.91915,27701.90329,25027.74459,25541.67472,25444.13926,23207.40591,23121.60114,25052.33939,30743.90254,35589.68912,36967.25918,38852.37293,44403.7669,48424.5756,44880.57302,44380.17663,47702.81189,44740.58325,46582.66955,47379.17392,40375.38864,41271.48215,
GDP per capita (current US$),NY.GDP.PCAP.CD,Belize,BLZ,1350.97638,1307.211688,1183.168317,1212.922437,1315.272503,1268.182948,1343.708719,1586.450207,1758.942735,1979.35346,2202.322556,2326.845903,2666.977671,2833.061341,2880.211133,2996.382928,3001.665138,2952.602141,2991.924971,3065.492248,3364.423711,3419.275719,3556.561825,3679.909523,3831.538019,3933.332215,4187.37803,4324.876427,4470.220796,4258.788611,4344.150177,4516.24675,4673.63848,4688.538443,4852.223666,4849.997495,4744.736397,
GDP per capita (current US$),NY.GDP.PCAP.CD,Benin,BEN,378.0438983,337.9781947,322.7776995,271.1292402,252.869785,244.4109989,303.3488979,344.5030708,346.7360377,311.6783039,393.6862144,385.753616,317.9628553,411.9260305,279.6665043,367.387341,387.4329246,361.1002698,379.442354,403.6237038,374.1923942,378.736054,418.6985763,519.2922847,583.4093514,601.799977,625.830092,706.0535419,820.1513498,793.45243,757.6959074,825.9427854,837.9505001,915.2674586,943.686575,783.947091,789.4404107,
GDP per capita (current US$),NY.GDP.PCAP.CD,Bermuda,BMU,11218.21782,13425.97697,14166.17129,15902.02038,17469.82557,18269.53552,20450.66453,22411.79567,24253.17552,25517.92172,26841.51974,27700.30952,28669.68226,30900.69489,31476.06312,33989.72236,44826.78907,48478.88325,51371.74081,54245.45974,56284.16865,58883.95943,62583.1002,66111.72523,70359.31911,75882.03386,83912.6978,90849.58698,93605.74817,88463.31282,88207.32756,85973.15842,85458.45551,85748.06541,,,,
GDP per capita (current US$),NY.GDP.PCAP.CD,Bhutan,BTN,331.5312269,348.2364521,345.5152164,374.758549,373.0604584,368.6335872,416.968406,505.9227309,548.7543973,520.4078194,557.9721483,465.3885839,471.8392542,449.688254,524.2981458,588.5939027,609.3430176,692.1262064,695.2902533,751.5757717,765.8632358,807.9387673,885.6382245,997.7417141,1097.457088,1247.061392,1335.456906,1741.142552,1795.181307,1770.234497,2178.921383,2458.045976,2422.008016,2350.882889,2504.717407,2615.31022,2773.547135,
GDP per capita (current US$),NY.GDP.PCAP.CD,Bolivia,BOL,811.7768958,1031.516161,958.6879039,909.847761,1013.800937,865.6901106,624.71542,672.565591,697.3705601,701.4646141,709.9488612,764.1413321,791.3804293,788.3990281,806.2214519,887.4685243,958.4737662,1006.964739,1058.71875,1012.509773,1007.002869,958.2366524,913.5756423,917.3643105,978.3346485,1046.427384,1233.594435,1389.634888,1736.935051,1776.866476,1981.160705,2377.675918,2645.227753,2947.938526,3124.00031,3077.026199,3104.956089,
GDP per capita (current US$),NY.GDP.PCAP.CD,Bosnia and Herzegovina,BIH,,,,,,,,,,,,,,,318.0200012,485.6172767,736.9753294,978.516728,1097.644555,1246.497114,1461.75052,1524.412022,1761.537647,2214.732246,2650.642661,2968.411806,3404.321698,4180.292176,5078.314577,4701.334426,4614.829041,5054.325344,4722.013403,5042.582213,5204.243718,4584.242548,4808.405425,
GDP per capita (current US$),NY.GDP.PCAP.CD,Botswana,BWA,1059.6967,1034.153218,943.3196682,1052.732039,1077.74254,937.4744618,1135.167444,1554.419932,2031.41822,2301.989726,2750.950026,2783.021503,2848.206987,2783.237931,2779.113832,3014.867858,3022.176753,3065.527268,2869.182503,3226.295674,3349.068823,3128.097793,3055.618382,4163.065906,4896.583835,5351.253732,5374.554867,5714.047937,5623.379566,5185.729845,6346.156204,7645.214612,7029.23145,7007.625786,7497.762378,6532.044677,6924.149775,
GDP per capita (current US$),NY.GDP.PCAP.CD,Brazil,BRA,1939.790876,2124.962989,2218.890515,1565.297832,1573.967139,1643.196503,1936.016335,2081.665262,2294.401695,2901.285449,3093.037479,3966.795488,2591.797116,2786.171356,3494.640541,4840.787782,5156.805408,5271.411137,5075.631114,3469.503972,3739.119036,3146.950177,2819.649531,3059.587582,3623.047667,4770.182746,5860.145975,7313.557962,8787.610375,8553.38047,11224.15408,13167.47289,12291.46685,12216.90446,12026.61731,8757.206202,8649.948492,
GDP per capita (current US$),NY.GDP.PCAP.CD,British Virgin Islands,VGB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GDP per capita (current US$),NY.GDP.PCAP.CD,Brunei Darussalam,BRN,25412.99495,21821.79499,20687.39975,18123.85989,17332.97479,15694.53999,10211.59628,11591.78627,11006.87051,11869.98727,13604.15683,13901.72173,15270.48612,14572.10853,14117.39214,15929.16376,16789.03717,16656.08988,12690.68932,14097.93159,18008.44826,16468.12886,16846.02198,18555.56649,21896.60527,26102.13345,30980.96692,32672.36717,37951.2806,27965.47504,35268.10117,47017.0273,47651.25909,44597.27968,41530.66898,30967.89051,26939.41751,
GDP per capita (current US$),NY.GDP.PCAP.CD,Bulgaria,BGR,2238.802958,2234.814816,2169.004011,1852.813434,1963.572676,1914.550647,2260.427281,3132.30136,2511.393063,2477.020818,2366.529821,1267.734375,1211.980878,1278.247173,1148.494399,1554.046931,1208.850233,1346.91277,1771.993943,1643.609895,1609.280586,1764.907387,2087.534843,2710.468024,3381.507837,3893.68998,4513.13628,5932.899677,7261.754492,6969.558557,6843.263289,7813.803499,7378.025539,7674.860559,7853.335191,6993.47736,7469.025247,
GDP per capita (current US$),NY.GDP.PCAP.CD,Burkina Faso,BFA,282.6857353,254.2307807,245.0947024,217.9947508,193.8432403,200.8944225,256.7623188,291.1319639,313.0618911,304.8534388,351.9793229,346.4106724,240.963481,244.1270735,193.0702363,235.8321973,249.3602944,229.4931177,255.7182334,265.3401156,226.4759814,235.4912324,260.7635413,332.3443051,371.3230865,406.9988071,422.6332374,475.1100122,569.7612784,552.7455521,575.4464527,666.8404101,673.8228182,699.781537,703.8216565,575.3144542,627.1030788,
GDP per capita (current US$),NY.GDP.PCAP.CD,Burundi,BDI,223.4072262,229.4581867,233.817671,243.4238066,215.9441863,244.5689375,248.2101339,226.8497158,210.7500959,210.9695203,209.0516152,210.6438772,191.310913,162.635225,157.5430015,167.7991717,143.8532933,159.1755281,144.4746122,128.6964397,135.9984455,133.7427689,122.4335893,112.8493703,127.4296648,150.5070434,165.8794176,170.7999005,196.2472628,204.9446502,231.1943256,260.4799073,265.2856051,282.7555252,312.7489794,300.6765569,285.7274421,
GDP per capita (current US$),NY.GDP.PCAP.CD,Cabo Verde,CPV,496.2267642,478.282435,473.0503005,456.4629076,426.6979481,437.1364851,595.4445052,724.0943075,801.733062,797.9155124,897.6495095,913.9639435,994.6280468,1328.993994,1072.330788,1251.902319,1258.80907,1201.956656,1250.615376,1389.719796,1239.377855,1268.884564,1373.515636,1768.921302,1976.458506,2048.13459,2304.289902,3112.285712,3638.905946,3444.5566,3312.825985,3670.429453,3408.482762,3558.796314,3529.618403,2954.119467,2997.75268,
GDP per capita (current US$),NY.GDP.PCAP.CD,Cambodia,KHM,,,,,,,,,,,,,,254.1791425,270.6091637,323.0099928,319.3632544,304.837993,269.054641,295.9735957,300.6850949,321.2263004,339.0676984,362.4213785,408.6105184,474.2238766,539.8791529,631.675789,745.7877873,738.2326684,785.6928841,882.4901462,950.0244132,1028.419568,1098.687123,1163.18977,1269.907238,
GDP per capita (current US$),NY.GDP.PCAP.CD,Cameroon,CMR,782.1396718,859.6568809,799.5699949,781.5619272,800.8261351,810.7666623,1024.387656,1150.1642,1132.477702,979.5901011,951.8882236,1030.979969,918.3958707,1214.697379,808.5760946,716.4369269,761.151765,764.7846067,730.7326938,751.9782914,660.1926971,661.7774417,719.8896584,881.0102086,1027.823,1030.038193,1081.369831,1215.808213,1396.824988,1338.884377,1309.122208,1429.647553,1380.509848,1493.746567,1571.182535,1353.92449,1374.514172,
GDP per capita (current US$),NY.GDP.PCAP.CD,Canada,CAN,11135.43799,12297.78569,12439.74784,13377.89565,13826.64999,14060.46178,14403.8287,16245.45168,18864.26292,20638.29005,21371.2911,21664.59864,20771.25035,20017.42985,19859.20398,20577.48939,21183.22008,21770.13408,20887.83947,22167.22585,24124.16917,23691.59472,24167.80431,28172.14883,31979.87195,36189.58838,40386.69948,44544.5268,46596.33599,40773.45436,47447.47602,52082.21076,52496.69487,52418.31506,50633.20882,43525.37019,42348.94546,
GDP per capita (current US$),NY.GDP.PCAP.CD,Cayman Islands,CYM,,,,,,,,,,,,,,,,,30189.76843,,,,,,,,,,64100.9077,,,,,,,,,,,
GDP per capita (current US$),NY.GDP.PCAP.CD,Central African Republic,CAF,349.6099162,296.0645947,309.3677326,264.1972436,248.5851878,328.3119198,416.1188419,435.8930918,449.7829378,429.5415541,490.0745619,456.8977858,456.074154,401.9779716,260.4835711,332.6773772,293.3188854,266.6076447,268.9004231,271.8551165,243.5429317,243.1586486,253.7068343,286.2508019,313.210598,323.9805112,347.6073678,397.1480467,456.8614334,449.9601839,446.4434494,494.3306779,486.410114,337.4849614,377.1320274,348.381417,382.2131743,
GDP per capita (current US$),NY.GDP.PCAP.CD,Chad,TCD,228.9434367,190.2181764,176.9533405,172.3751507,185.5258783,202.8994616,203.6671801,215.1272438,265.4919945,248.554947,291.8661593,305.2216778,296.3964872,223.2061727,174.2195487,206.5386927,221.9742723,206.1441026,224.8661479,190.8359826,166.0231785,197.3156442,220.8054821,292.5914364,454.6765879,660.2421396,712.1847694,801.683884,929.7702391,804.4559039,896.5697341,989.2363633,973.4702574,986.0103177,1025.998515,777.2487051,664.2956519,
GDP per capita (current US$),NY.GDP.PCAP.CD,Channel Islands,CHI,,,,,,,,,,,,,,,,,,,40537.51169,42405.49714,43299.40114,41610.13058,44159.21077,48226.39668,55844.11669,57210.73229,62261.82801,73569.64496,,,,,,,,,,
GDP per capita (current US$),NY.GDP.PCAP.CD,Chile,CHL,2577.323575,3016.823465,2180.290184,1725.441879,1637.167311,1453.316206,1525.426685,1767.123349,2032.959557,2294.345992,2500.646257,2811.481588,3362.169308,3551.030186,4045.621429,5137.375078,5382.846519,5781.103423,5479.498064,4986.007417,5101.368479,4595.666327,4463.545867,4787.699532,6210.828325,7615.30468,9484.681227,10526.87746,10781.36608,10243.32824,12860.17764,14705.69242,15431.90293,15941.39722,14817.37778,13653.2264,13792.92605,
