Series Name,Series Code,Country Name,Country Code,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Population density (people per sq. km of land area),EN.POP.DNST,Australia,AUS,1.912448095,1.943037892,1.975710399,2.000572745,2.023352381,2.051208622,2.085104721,2.117061297,2.151985733,2.188719524,2.22135298,2.249847051,2.277312784,2.299701912,2.32417375,2.352420499,2.383530974,2.41034586,2.435598714,2.463585124,2.493133567,2.526977598,2.558009971,2.589771292,2.619970582,2.654777866,2.694232196,2.711115161,2.765994559,2.823594496,2.867858584,2.90798641,2.960373196,3.012886896,3.059518373,3.104641058,3.151505278,
Population density (people per sq. km of land area),EN.POP.DNST,Austria,AUT,91.41962945,91.6530637,91.71881812,91.5707193,91.56495519,91.60795592,91.66619036,91.72421894,91.85416566,92.26891499,92.97469121,93.90761686,94.94682732,95.73302252,96.1021797,96.24943085,96.37947445,96.4887503,96.59468394,96.78280455,97.01581497,97.38790264,97.86821264,98.34612497,98.95817389,99.63464519,100.1288569,100.4563806,100.7713435,101.0356633,101.2874254,101.6417316,102.1148703,102.7416971,103.5053864,104.6153072,105.8065145,
Population density (people per sq. km of land area),EN.POP.DNST,Azerbaijan,AZE,73.9120372,75.09667496,76.30121249,77.53314827,78.80102623,80.10929257,81.45731041,82.83764135,84.23802829,85.64224858,86.02809522,87.37397407,88.70783614,90.06573176,91.29144285,92.34891909,93.28622757,94.19048992,95.23179127,96.52076658,97.43477998,98.19379207,98.9124646,99.62372356,100.4753726,101.5225018,102.6725317,103.8533687,106.0597625,108.2912905,109.5423442,110.9763362,112.4607902,113.9234808,115.3488139,116.7310768,118.0432842,
Population density (people per sq. km of land area),EN.POP.DNST,"Bahamas, The",BHS,21.04505495,21.51808192,22.00549451,22.4962038,22.97852148,23.44525475,23.88921079,24.31498501,24.73316683,25.15974026,25.60799201,26.08551449,26.58681319,27.08941059,27.56193806,27.98701299,28.35064935,28.66833167,28.97702298,29.32787213,29.75924076,30.28321678,30.88481518,31.54305694,32.22037962,32.89200799,33.54945055,34.1986014,34.83276723,35.45014985,36.04715285,36.62017982,37.16673327,37.68631369,38.17872128,38.64515485,39.08411588,
Population density (people per sq. km of land area),EN.POP.DNST,Bahrain,BHR,521.5768116,542.2028986,559.3478261,574.5710145,590.184058,607.8695652,628.2347826,650.6855072,674.2057971,697.2318841,718.7405797,738.7898551,736.7422535,755.2295775,774.0676056,793.9422535,815.0253521,837.9295775,864.3690141,896.5422535,936.0760563,982.4633803,1035.419718,1081.543056,1136.778082,1201.578378,1295.154054,1381.188,1466.565789,1559.248684,1628.427822,1666.58279,1688.593506,1708.325974,1733.329442,1779.319066,1848.470817,
Population density (people per sq. km of land area),EN.POP.DNST,Bangladesh,BGD,625.880464,643.1686871,660.7308212,678.6374894,697.0297457,715.9857494,735.5184067,755.5028732,775.7188369,795.8764078,815.7689329,835.272582,854.4360298,873.435807,892.5425751,911.9372436,931.625144,951.483752,971.4063532,991.2398479,1010.841538,1030.246293,1049.402067,1067.980341,1085.561105,1101.875248,1116.755043,1130.361765,1143.165199,1155.832435,1168.849213,1182.391611,1196.335968,1210.503895,1224.593063,1238.387386,1251.836521,
Population density (people per sq. km of land area),EN.POP.DNST,Barbados,BRB,586.4976744,588.5581395,590.327907,591.9023256,593.472093,595.172093,597.0604651,599.0953488,601.2255814,603.3906977,605.5209302,607.6162791,609.7302326,611.8348837,613.9883721,616.1837209,618.4697674,620.8023256,623.1395349,625.4,627.5511628,629.5,631.344186,633.1581395,635.0953488,637.2302326,639.6255814,642.2093023,644.927907,647.6046512,650.1604651,652.5604651,654.8488372,656.9976744,659.0348837,660.9697674,662.7813953,
Population density (people per sq. km of land area),EN.POP.DNST,Belarus,BLR,47.53993295,47.87024256,48.19562217,48.52593177,48.85624137,49.17669099,49.51193059,49.84717018,49.99014001,50.13803983,50.23170972,50.25635969,50.36481956,50.47820943,50.4190495,50.25635969,50.08873989,49.87675015,49.64011043,49.43175902,49.19941826,48.94768783,48.6394912,48.30029581,47.97665796,47.64539269,47.33821587,47.1215032,46.95901922,46.87291687,46.77468211,46.6865704,46.6438076,46.6512099,46.69316939,46.76761126,46.82634666,
Population density (people per sq. km of land area),EN.POP.DNST,Belgium,BEL,,,,,,,,,,,,,,,,,,,,,338.5485469,339.7149934,341.2412483,342.6728203,344.1590819,346.0573646,348.347358,350.9147952,353.6979194,356.555251,359.8278071,364.8528402,367.5114267,369.3136394,370.180218,372.3314399,374.4542933,
Population density (people per sq. km of land area),EN.POP.DNST,Belize,BLZ,6.31981587,6.469355546,6.641823762,6.83130206,7.029679965,7.23020605,7.433932486,7.642262166,7.848662867,8.043358176,8.222358615,8.379044279,8.518939062,8.66356861,8.841473038,9.073345024,9.367645769,9.715300307,10.09574748,10.47900044,10.84239369,11.17860587,11.49522139,11.79877247,12.10385796,12.4189829,12.74647085,13.08228847,13.42240246,13.76277948,14.09943007,14.43191583,14.76111355,15.08903989,15.41841298,15.75133713,16.0874178,
